UWI,Date,Oil_Volume_m3,Water_Volume_m3,Gas_Volume_e3m3
100/02-24-010-111W1/00,2025/12/25,41.63,10.99,2.08
100/02-24-010-111W1/00,2025/12/26,40.83,19.78,2.04
100/02-24-010-111W1/00,2025/12/27,0,0,0
100/02-24-010-111W1/00,2025/12/28,43.35,14.94,2.17
100/02-24-010-111W1/00,2025/12/29,42.41,10.58,2.12
100/02-24-010-111W1/00,2025/12/30,43.72,23.22,2.19
100/02-24-010-111W1/00,2025/12/31,42.43,31.79,2.12
100/02-24-010-111W1/00,2026/1/1,42.27,13.27,2.11
100/12-30-010-112W1/00,2025/1/1,56.77,9.78,2.84
100/12-30-010-112W1/00,2025/1/2,56.62,40.84,2.83
100/12-30-010-112W1/00,2025/1/3,57.73,19.47,2.89
100/12-30-010-112W1/00,2025/1/4,56.37,31.64,2.82
100/12-30-010-112W1/00,2025/1/5,56.59,17.39,2.83
100/12-30-010-112W1/00,2025/1/6,59.21,13.49,2.96
100/12-30-010-112W1/00,2025/1/7,56.62,39.87,2.83
100/12-30-010-112W1/00,2025/1/8,57.91,40.51,2.9
100/12-30-010-112W1/00,2025/1/9,55.89,19.54,2.79
100/12-30-010-112W1/00,2025/1/10,53.89,17.02,2.69
100/12-30-010-112W1/00,2025/1/11,56.8,23.03,2.84
100/12-30-010-112W1/00,2025/1/12,54.69,21.96,2.73
100/12-30-010-112W1/00,2025/1/13,58.63,16.57,2.93
100/12-30-010-112W1/00,2025/1/14,57.14,6.53,2.86
100/12-30-010-112W1/00,2025/1/15,53.68,42.85,2.68
100/12-30-010-112W1/00,2025/1/16,55.12,15.45,2.76
100/12-30-010-112W1/00,2025/1/17,55.42,19.99,2.77
100/12-30-010-112W1/00,2025/1/18,56.88,12.23,2.84
100/12-30-010-112W1/00,2025/1/19,57.92,25.11,2.9
100/12-30-010-112W1/00,2025/1/20,54.71,6.14,2.74
100/12-30-010-112W1/00,2025/1/21,55.86,27.76,2.79
100/12-30-010-112W1/00,2025/1/22,58.7,31.94,2.93
100/12-30-010-112W1/00,2025/1/23,53.7,11.41,2.68
100/12-30-010-112W1/00,2025/1/24,55.61,22.92,2.78
100/12-30-010-112W1/00,2025/1/25,56.57,12.99,2.83
100/12-30-010-112W1/00,2025/1/26,54.11,7.83,2.71
100/12-30-010-112W1/00,2025/1/27,54.4,39.29,2.72
100/12-30-010-112W1/00,2025/1/28,54.06,26.17,2.7
100/12-30-010-112W1/00,2025/1/29,53.3,5.6,2.66
100/12-30-010-112W1/00,2025/1/30,56.68,20.17,2.83
100/12-30-010-112W1/00,2025/1/31,54.46,18.59,2.72
100/12-30-010-112W1/00,2025/2/1,57.87,13.25,2.89
100/12-30-010-112W1/00,2025/2/2,53.59,13.42,2.68
100/12-30-010-112W1/00,2025/2/3,53.67,39.83,2.68
100/12-30-010-112W1/00,2025/2/4,53.28,41.12,2.66
100/12-30-010-112W1/00,2025/2/5,57.02,42.96,2.85
100/12-30-010-112W1/00,2025/2/6,57.44,33.49,2.87
100/12-30-010-112W1/00,2025/2/7,57.18,19.59,2.86
100/12-30-010-112W1/00,2025/2/8,54.18,17.88,2.71
100/12-30-010-112W1/00,2025/2/9,57.88,17.58,2.89
100/12-30-010-112W1/00,2025/2/10,54.83,42.33,2.74
100/12-30-010-112W1/00,2025/2/11,56.95,39.79,2.85
100/12-30-010-112W1/00,2025/2/12,54.7,34.1,2.73
100/12-30-010-112W1/00,2025/2/13,56.75,14.7,2.84
100/12-30-010-112W1/00,2025/2/14,54.68,27.53,2.73
100/12-30-010-112W1/00,2025/2/15,53.55,34.76,2.68
100/12-30-010-112W1/00,2025/2/16,57.41,12.65,2.87
100/12-30-010-112W1/00,2025/2/17,57.04,6.47,2.85
100/12-30-010-112W1/00,2025/2/18,57.88,17.15,2.89
100/12-30-010-112W1/00,2025/2/19,53.39,18.83,2.67
100/12-30-010-112W1/00,2025/2/20,55.98,28.37,2.8
100/12-30-010-112W1/00,2025/2/21,56.97,15.07,2.85
100/12-30-010-112W1/00,2025/2/22,53.15,27.48,2.66
100/12-30-010-112W1/00,2025/2/23,54.1,23.25,2.7
100/12-30-010-112W1/00,2025/2/24,0,0,0
100/12-30-010-112W1/00,2025/2/25,56.95,33.39,2.85
100/12-30-010-112W1/00,2025/2/26,0,0,0
100/12-30-010-112W1/00,2025/2/27,57.58,27.17,2.88
100/12-30-010-112W1/00,2025/2/28,53.41,21.7,2.67
100/12-30-010-112W1/00,2025/3/1,52.99,15.15,2.65
100/12-30-010-112W1/00,2025/3/2,55.94,20.31,2.8
100/12-30-010-112W1/00,2025/3/3,52.53,18.89,2.63
100/12-30-010-112W1/00,2025/3/4,53.22,29.77,2.66
100/12-30-010-112W1/00,2025/3/5,52.26,9.65,2.61
100/12-30-010-112W1/00,2025/3/6,54.93,36.12,2.75
100/12-30-010-112W1/00,2025/3/7,55.13,24.61,2.76
100/12-30-010-112W1/00,2025/3/8,55.94,34.2,2.8
100/12-30-010-112W1/00,2025/3/9,54.83,23.4,2.74
100/12-30-010-112W1/00,2025/3/10,53.2,15.37,2.66
100/12-30-010-112W1/00,2025/3/11,53.09,10.11,2.65
100/12-30-010-112W1/00,2025/3/12,54.78,38.5,2.74
100/12-30-010-112W1/00,2025/3/13,53.24,25.74,2.66
100/12-30-010-112W1/00,2025/3/14,56.65,21.7,2.83
100/12-30-010-112W1/00,2025/3/15,53.29,22.51,2.66
100/12-30-010-112W1/00,2025/3/16,53.65,35.41,2.68
100/12-30-010-112W1/00,2025/3/17,53.23,22.8,2.66
100/12-30-010-112W1/00,2025/3/18,51.84,37.45,2.59
100/12-30-010-112W1/00,2025/3/19,55.2,28.03,2.76
100/12-30-010-112W1/00,2025/3/20,56.15,9.61,2.81
100/12-30-010-112W1/00,2025/3/21,54.37,36.32,2.72
100/12-30-010-112W1/00,2025/3/22,55.78,21.18,2.79
100/12-30-010-112W1/00,2025/3/23,55.5,9.08,2.78
100/12-30-010-112W1/00,2025/3/24,51.71,18.07,2.59
100/12-30-010-112W1/00,2025/3/25,54.34,20.83,2.72
100/12-30-010-112W1/00,2025/3/26,52.53,22.02,2.63
100/12-30-010-112W1/00,2025/3/27,55.87,11.27,2.79
100/12-30-010-112W1/00,2025/3/28,0,0,0
100/12-30-010-112W1/00,2025/3/29,55.42,17.75,2.77
100/12-30-010-112W1/00,2025/3/30,56.4,32.18,2.82
100/12-30-010-112W1/00,2025/3/31,51.87,12.6,2.59
100/12-30-010-112W1/00,2025/4/1,52.71,6.06,2.64
100/12-30-010-112W1/00,2025/4/2,52.01,5.55,2.6
100/12-30-010-112W1/00,2025/4/3,52.33,20.69,2.62
100/12-30-010-112W1/00,2025/4/4,55.76,23.41,2.79
100/12-30-010-112W1/00,2025/4/5,53.98,14.6,2.7
100/12-30-010-112W1/00,2025/4/6,56.01,12.92,2.8
100/12-30-010-112W1/00,2025/4/7,53.48,23.75,2.67
100/12-30-010-112W1/00,2025/4/8,0,0,0
100/12-30-010-112W1/00,2025/4/9,52.11,20.64,2.61
100/12-30-010-112W1/00,2025/4/10,55.61,18.25,2.78
100/12-30-010-112W1/00,2025/4/11,53.44,33.28,2.67
100/12-30-010-112W1/00,2025/4/12,53.06,5.97,2.65
100/12-30-010-112W1/00,2025/4/13,53.34,16.47,2.67
100/12-30-010-112W1/00,2025/4/14,53.95,22.54,2.7
100/12-30-010-112W1/00,2025/4/15,53.36,6.85,2.67
100/12-30-010-112W1/00,2025/4/16,56,12.71,2.8
100/12-30-010-112W1/00,2025/4/17,51.41,28.93,2.57
100/12-30-010-112W1/00,2025/4/18,55.13,34.53,2.76
100/12-30-010-112W1/00,2025/4/19,53.84,31.33,2.69
100/12-30-010-112W1/00,2025/4/20,53.08,29.28,2.65
100/12-30-010-112W1/00,2025/4/21,53.95,28.54,2.7
100/12-30-010-112W1/00,2025/4/22,53.91,25,2.7
100/12-30-010-112W1/00,2025/4/23,52.85,14.23,2.64
100/12-30-010-112W1/00,2025/4/24,0,0,0
100/12-30-010-112W1/00,2025/4/25,52.32,19.67,2.62
100/12-30-010-112W1/00,2025/4/26,50.75,32.53,2.54
100/12-30-010-112W1/00,2025/4/27,53.57,31.15,2.68
100/12-30-010-112W1/00,2025/4/28,54.95,22.57,2.75
100/12-30-010-112W1/00,2025/4/29,55.02,38.69,2.75
100/12-30-010-112W1/00,2025/4/30,50.39,8.21,2.52
100/12-30-010-112W1/00,2025/5/1,55.36,27.18,2.77
100/12-30-010-112W1/00,2025/5/2,54.89,22.9,2.74
100/12-30-010-112W1/00,2025/5/3,55.13,38.3,2.76
100/12-30-010-112W1/00,2025/5/4,52.84,34.48,2.64
100/12-30-010-112W1/00,2025/5/5,53.13,41.9,2.66
100/12-30-010-112W1/00,2025/5/6,54.26,24.06,2.71
100/12-30-010-112W1/00,2025/5/7,54.06,11.79,2.7
100/12-30-010-112W1/00,2025/5/8,50.47,38.5,2.52
100/12-30-010-112W1/00,2025/5/9,51.18,9.74,2.56
100/12-30-010-112W1/00,2025/5/10,53.7,33.25,2.68
100/12-30-010-112W1/00,2025/5/11,52.42,9.28,2.62
100/12-30-010-112W1/00,2025/5/12,51.19,40.14,2.56
100/12-30-010-112W1/00,2025/5/13,52.03,10.72,2.6
100/12-30-010-112W1/00,2025/5/14,50.48,11.74,2.52
100/12-30-010-112W1/00,2025/5/15,52.73,34.32,2.64
100/12-30-010-112W1/00,2025/5/16,50.22,21.35,2.51
100/12-30-010-112W1/00,2025/5/17,50.91,12.93,2.55
100/12-30-010-112W1/00,2025/5/18,54.71,43.4,2.74
100/12-30-010-112W1/00,2025/5/19,50.67,12.59,2.53
100/12-30-010-112W1/00,2025/5/20,51.32,39.5,2.57
100/12-30-010-112W1/00,2025/5/21,53.41,12.29,2.67
100/12-30-010-112W1/00,2025/5/22,53.92,11.57,2.7
100/12-30-010-112W1/00,2025/5/23,50.99,7.99,2.55
100/12-30-010-112W1/00,2025/5/24,52.95,8.81,2.65
100/12-30-010-112W1/00,2025/5/25,54.69,31.44,2.73
100/12-30-010-112W1/00,2025/5/26,50.59,7.85,2.53
100/12-30-010-112W1/00,2025/5/27,50.75,13.41,2.54
100/12-30-010-112W1/00,2025/5/28,52.41,17.28,2.62
100/12-30-010-112W1/00,2025/5/29,50.35,21.41,2.52
100/12-30-010-112W1/00,2025/5/30,0,0,0
100/12-30-010-112W1/00,2025/5/31,53.44,23.68,2.67
100/12-30-010-112W1/00,2025/6/1,52.38,33.06,2.62
100/12-30-010-112W1/00,2025/6/2,52.23,34.99,2.61
100/12-30-010-112W1/00,2025/6/3,53.41,38.22,2.67
100/12-30-010-112W1/00,2025/6/4,51.32,25.56,2.57
100/12-30-010-112W1/00,2025/6/5,52.8,42.07,2.64
100/12-30-010-112W1/00,2025/6/6,0,0,0
100/12-30-010-112W1/00,2025/6/7,50.28,29.99,2.51
100/12-30-010-112W1/00,2025/6/8,52.94,30.99,2.65
100/12-30-010-112W1/00,2025/6/9,50.38,27.22,2.52
100/12-30-010-112W1/00,2025/6/10,53.57,37.31,2.68
100/12-30-010-112W1/00,2025/6/11,52.02,38.29,2.6
100/12-30-010-112W1/00,2025/6/12,53.6,5.8,2.68
100/12-30-010-112W1/00,2025/6/13,51.4,33.86,2.57
100/12-30-010-112W1/00,2025/6/14,50.97,14.78,2.55
100/12-30-010-112W1/00,2025/6/15,49.53,32.89,2.48
100/12-30-010-112W1/00,2025/6/16,0,0,0
100/12-30-010-112W1/00,2025/6/17,50.15,14.11,2.51
100/12-30-010-112W1/00,2025/6/18,52.17,9.65,2.61
100/12-30-010-112W1/00,2025/6/19,50.05,39.12,2.5
100/12-30-010-112W1/00,2025/6/20,51.83,13.95,2.59
100/12-30-010-112W1/00,2025/6/21,49.11,6.1,2.46
100/12-30-010-112W1/00,2025/6/22,50.74,9.94,2.54
100/12-30-010-112W1/00,2025/6/23,53.75,20.26,2.69
100/12-30-010-112W1/00,2025/6/24,53.57,36.54,2.68
100/12-30-010-112W1/00,2025/6/25,52.38,9.94,2.62
100/12-30-010-112W1/00,2025/6/26,50.01,10.64,2.5
100/12-30-010-112W1/00,2025/6/27,49.22,29.01,2.46
100/12-30-010-112W1/00,2025/6/28,51.24,10.37,2.56
100/12-30-010-112W1/00,2025/6/29,51.47,40.64,2.57
100/12-30-010-112W1/00,2025/6/30,49.92,35.38,2.5
100/12-30-010-112W1/00,2025/7/1,52.9,24.71,2.65
100/12-30-010-112W1/00,2025/7/2,49.99,15.4,2.5
100/12-30-010-112W1/00,2025/7/3,52.89,32.08,2.64
100/12-30-010-112W1/00,2025/7/4,52.42,14.68,2.62
100/12-30-010-112W1/00,2025/7/5,50.66,32.81,2.53
100/12-30-010-112W1/00,2025/7/6,51.56,37,2.58
100/12-30-010-112W1/00,2025/7/7,48.6,22.42,2.43
100/12-30-010-112W1/00,2025/7/8,51.65,39.55,2.58
100/12-30-010-112W1/00,2025/7/9,50.57,28.23,2.53
100/12-30-010-112W1/00,2025/7/10,49.47,36.77,2.47
100/12-30-010-112W1/00,2025/7/11,48.22,11.73,2.41
100/12-30-010-112W1/00,2025/7/12,51.99,35.77,2.6
100/12-30-010-112W1/00,2025/7/13,52.81,25.72,2.64
100/12-30-010-112W1/00,2025/7/14,51.08,9.5,2.55
100/12-30-010-112W1/00,2025/7/15,48.66,13.55,2.43
100/12-30-010-112W1/00,2025/7/16,51.13,35.11,2.56
100/12-30-010-112W1/00,2025/7/17,49.88,37.18,2.49
100/12-30-010-112W1/00,2025/7/18,52.27,13.67,2.61
100/12-30-010-112W1/00,2025/7/19,48.63,24.61,2.43
100/12-30-010-112W1/00,2025/7/20,50.28,31.31,2.51
100/12-30-010-112W1/00,2025/7/21,51.58,38.57,2.58
100/12-30-010-112W1/00,2025/7/22,48.71,6.5,2.44
100/12-30-010-112W1/00,2025/7/23,48.53,23.81,2.43
100/12-30-010-112W1/00,2025/7/24,47.98,6.01,2.4
100/12-30-010-112W1/00,2025/7/25,50.73,17.79,2.54
100/12-30-010-112W1/00,2025/7/26,48.08,37.8,2.4
100/12-30-010-112W1/00,2025/7/27,48.62,27.97,2.43
100/12-30-010-112W1/00,2025/7/28,49.82,35.03,2.49
100/12-30-010-112W1/00,2025/7/29,49.04,8.11,2.45
100/12-30-010-112W1/00,2025/7/30,48.81,36.23,2.44
100/12-30-010-112W1/00,2025/7/31,49.72,23.5,2.49
100/12-30-010-112W1/00,2025/8/1,52.55,32.97,2.63
100/12-30-010-112W1/00,2025/8/2,51.46,39.85,2.57
100/12-30-010-112W1/00,2025/8/3,47.9,18.27,2.39
100/12-30-010-112W1/00,2025/8/4,49.22,14.34,2.46
100/12-30-010-112W1/00,2025/8/5,52.1,6.49,2.61
100/12-30-010-112W1/00,2025/8/6,51.02,39.53,2.55
100/12-30-010-112W1/00,2025/8/7,51.19,23.77,2.56
100/12-30-010-112W1/00,2025/8/8,50.08,31.84,2.5
100/12-30-010-112W1/00,2025/8/9,51.26,12.13,2.56
100/12-30-010-112W1/00,2025/8/10,48.96,5.21,2.45
100/12-30-010-112W1/00,2025/8/11,47.84,33,2.39
100/12-30-010-112W1/00,2025/8/12,48.66,37.56,2.43
100/12-30-010-112W1/00,2025/8/13,47.27,14.12,2.36
100/12-30-010-112W1/00,2025/8/14,47.7,7.36,2.39
100/12-30-010-112W1/00,2025/8/15,48.1,16.97,2.41
100/12-30-010-112W1/00,2025/8/16,49.24,36.49,2.46
100/12-30-010-112W1/00,2025/8/17,49.08,30.69,2.45
100/12-30-010-112W1/00,2025/8/18,47.52,26.44,2.38
100/12-30-010-112W1/00,2025/8/19,50.96,37.78,2.55
100/12-30-010-112W1/00,2025/8/20,49.97,22.51,2.5
100/12-30-010-112W1/00,2025/8/21,51.11,37.73,2.56
100/12-30-010-112W1/00,2025/8/22,50.79,14.52,2.54
100/12-30-010-112W1/00,2025/8/23,51.6,5.86,2.58
100/12-30-010-112W1/00,2025/8/24,47.65,32.1,2.38
100/12-30-010-112W1/00,2025/8/25,48.61,12.24,2.43
100/12-30-010-112W1/00,2025/8/26,48.57,27.21,2.43
100/12-30-010-112W1/00,2025/8/27,0,0,0
100/12-30-010-112W1/00,2025/8/28,50.81,36.67,2.54
100/12-30-010-112W1/00,2025/8/29,49.6,31.64,2.48
100/12-30-010-112W1/00,2025/8/30,48.76,22.76,2.44
100/12-30-010-112W1/00,2025/8/31,46.84,9.69,2.34
100/12-30-010-112W1/00,2025/9/1,47.05,10.95,2.35
100/12-30-010-112W1/00,2025/9/2,47.04,11.02,2.35
100/12-30-010-112W1/00,2025/9/3,46.73,26.05,2.34
100/12-30-010-112W1/00,2025/9/4,49.91,25.56,2.5
100/12-30-010-112W1/00,2025/9/5,50.73,22.54,2.54
100/12-30-010-112W1/00,2025/9/6,48.54,38.31,2.43
100/12-30-010-112W1/00,2025/9/7,51.25,23.58,2.56
100/12-30-010-112W1/00,2025/9/8,50.19,35.95,2.51
100/12-30-010-112W1/00,2025/9/9,48.05,31.67,2.4
100/12-30-010-112W1/00,2025/9/10,49.11,11.09,2.46
100/12-30-010-112W1/00,2025/9/11,50.96,10.31,2.55
100/12-30-010-112W1/00,2025/9/12,49.28,9.09,2.46
100/12-30-010-112W1/00,2025/9/13,49.1,11.34,2.46
100/12-30-010-112W1/00,2025/9/14,51.07,12.78,2.55
100/12-30-010-112W1/00,2025/9/15,48.52,30.25,2.43
100/12-30-010-112W1/00,2025/9/16,46.37,22.21,2.32
100/12-30-010-112W1/00,2025/9/17,48.15,18.98,2.41
100/12-30-010-112W1/00,2025/9/18,49.6,29.93,2.48
100/12-30-010-112W1/00,2025/9/19,50.93,29.65,2.55
100/12-30-010-112W1/00,2025/9/20,49.56,30.46,2.48
100/12-30-010-112W1/00,2025/9/21,47.61,30.86,2.38
100/12-30-010-112W1/00,2025/9/22,48.84,13.41,2.44
100/12-30-010-112W1/00,2025/9/23,46.62,31.73,2.33
100/12-30-010-112W1/00,2025/9/24,46.96,22.51,2.35
100/12-30-010-112W1/00,2025/9/25,47.6,16.47,2.38
100/12-30-010-112W1/00,2025/9/26,50.78,6.2,2.54
100/12-30-010-112W1/00,2025/9/27,47.77,26.38,2.39
100/12-30-010-112W1/00,2025/9/28,49.2,30.04,2.46
100/12-30-010-112W1/00,2025/9/29,46.47,26.02,2.32
100/12-30-010-112W1/00,2025/9/30,46.03,17.97,2.3
100/12-30-010-112W1/00,2025/10/1,48.12,28.55,2.41
100/12-30-010-112W1/00,2025/10/2,47.36,6.74,2.37
100/12-30-010-112W1/00,2025/10/3,48.55,16.73,2.43
100/12-30-010-112W1/00,2025/10/4,48.37,20.73,2.42
100/12-30-010-112W1/00,2025/10/5,48.82,27.44,2.44
100/12-30-010-112W1/00,2025/10/6,46.41,9.73,2.32
100/12-30-010-112W1/00,2025/10/7,49.9,19.29,2.5
100/12-30-010-112W1/00,2025/10/8,49.31,33.67,2.47
100/12-30-010-112W1/00,2025/10/9,48.56,34.12,2.43
100/12-30-010-112W1/00,2025/10/10,0,0,0
100/12-30-010-112W1/00,2025/10/11,45.93,20.55,2.3
100/12-30-010-112W1/00,2025/10/12,47.06,33.38,2.35
100/12-30-010-112W1/00,2025/10/13,47.23,30.32,2.36
100/12-30-010-112W1/00,2025/10/14,48.74,32.73,2.44
100/12-30-010-112W1/00,2025/10/15,49.68,16.08,2.48
100/12-30-010-112W1/00,2025/10/16,45.83,12.86,2.29
100/12-30-010-112W1/00,2025/10/17,46.94,33.45,2.35
100/12-30-010-112W1/00,2025/10/18,48.09,19.4,2.4
100/12-30-010-112W1/00,2025/10/19,50.01,15.37,2.5
100/12-30-010-112W1/00,2025/10/20,47.36,6.76,2.37
100/12-30-010-112W1/00,2025/10/21,49.2,8.32,2.46
100/12-30-010-112W1/00,2025/10/22,46.03,29.23,2.3
100/12-30-010-112W1/00,2025/10/23,47.96,20.52,2.4
100/12-30-010-112W1/00,2025/10/24,48.89,32.68,2.44
100/12-30-010-112W1/00,2025/10/25,48.28,20.31,2.41
100/12-30-010-112W1/00,2025/10/26,49.59,5.79,2.48
100/12-30-010-112W1/00,2025/10/27,49.72,14.62,2.49
100/12-30-010-112W1/00,2025/10/28,46.98,8.62,2.35
100/12-30-010-112W1/00,2025/10/29,45.85,12.61,2.29
100/12-30-010-112W1/00,2025/10/30,48.41,38.27,2.42
100/12-30-010-112W1/00,2025/10/31,47.51,22.11,2.38
100/12-30-010-112W1/00,2025/11/1,47.48,5.04,2.37
100/12-30-010-112W1/00,2025/11/2,0,0,0
100/12-30-010-112W1/00,2025/11/3,45.95,33.37,2.3
100/12-30-010-112W1/00,2025/11/4,49.57,37.54,2.48
100/12-30-010-112W1/00,2025/11/5,47.33,10.55,2.37
100/12-30-010-112W1/00,2025/11/6,49.09,34.16,2.45
100/12-30-010-112W1/00,2025/11/7,48.45,8.15,2.42
100/12-30-010-112W1/00,2025/11/8,48.4,19.25,2.42
100/12-30-010-112W1/00,2025/11/9,45.27,31.64,2.26
100/12-30-010-112W1/00,2025/11/10,48.69,32.72,2.43
100/12-30-010-112W1/00,2025/11/11,46.17,35.31,2.31
100/12-30-010-112W1/00,2025/11/12,45.12,18.14,2.26
100/12-30-010-112W1/00,2025/11/13,46.94,31.94,2.35
100/12-30-010-112W1/00,2025/11/14,45.67,34.9,2.28
100/12-30-010-112W1/00,2025/11/15,48.88,15.3,2.44
100/12-30-010-112W1/00,2025/11/16,46.61,10.27,2.33
100/12-30-010-112W1/00,2025/11/17,45.51,11.05,2.28
100/12-30-010-112W1/00,2025/11/18,46.87,30.87,2.34
100/12-30-010-112W1/00,2025/11/19,48.74,26.59,2.44
100/12-30-010-112W1/00,2025/11/20,47.65,19.76,2.38
100/12-30-010-112W1/00,2025/11/21,44.82,31.46,2.24
100/12-30-010-112W1/00,2025/11/22,45.62,29.09,2.28
100/12-30-010-112W1/00,2025/11/23,0,0,0
100/12-30-010-112W1/00,2025/11/24,47.95,32.11,2.4
100/12-30-010-112W1/00,2025/11/25,0,0,0
100/12-30-010-112W1/00,2025/11/26,47.4,7.53,2.37
100/12-30-010-112W1/00,2025/11/27,46.56,25.96,2.33
100/12-30-010-112W1/00,2025/11/28,45.18,10.98,2.26
100/12-30-010-112W1/00,2025/11/29,45.34,17.08,2.27
100/12-30-010-112W1/00,2025/11/30,46.3,29.78,2.32
100/12-30-010-112W1/00,2025/12/1,44.82,6.01,2.24
100/12-30-010-112W1/00,2025/12/2,44.58,9.09,2.23
100/12-30-010-112W1/00,2025/12/3,0,0,0
100/12-30-010-112W1/00,2025/12/4,48.28,18.71,2.41
100/12-30-010-112W1/00,2025/12/5,45.51,9.41,2.28
100/12-30-010-112W1/00,2025/12/6,44.72,8.04,2.24
100/12-30-010-112W1/00,2025/12/7,45.5,35.18,2.28
100/12-30-010-112W1/00,2025/12/8,48.63,17.54,2.43
100/12-30-010-112W1/00,2025/12/9,45.53,10.38,2.28
100/12-30-010-112W1/00,2025/12/10,48.38,38.25,2.42
100/12-30-010-112W1/00,2025/12/11,44.67,17.71,2.23
100/12-30-010-112W1/00,2025/12/12,45.63,8.69,2.28
100/12-30-010-112W1/00,2025/12/13,45.18,15.65,2.26
100/12-30-010-112W1/00,2025/12/14,45.87,36.16,2.29
100/12-30-010-112W1/00,2025/12/15,47.92,33.07,2.4
100/12-30-010-112W1/00,2025/12/16,47.49,26.68,2.37
100/12-30-010-112W1/00,2025/12/17,44.17,18.73,2.21
100/12-30-010-112W1/00,2025/12/18,47.34,36.61,2.37
100/12-30-010-112W1/00,2025/12/19,47.8,28.42,2.39
100/12-30-010-112W1/00,2025/12/20,46.15,34.47,2.31
100/12-30-010-112W1/00,2025/12/21,47.6,27.18,2.38
100/12-30-010-112W1/00,2025/12/22,43.85,33.11,2.19
100/12-30-010-112W1/00,2025/12/23,45.03,9.2,2.25
100/12-30-010-112W1/00,2025/12/24,47.48,31.82,2.37
100/12-30-010-112W1/00,2025/12/25,45.29,14.17,2.26
100/12-30-010-112W1/00,2025/12/26,0,0,0
100/12-30-010-112W1/00,2025/12/27,45.87,21.5,2.29
100/12-30-010-112W1/00,2025/12/28,43.68,28.01,2.18
100/12-30-010-112W1/00,2025/12/29,43.68,17.51,2.18
100/12-30-010-112W1/00,2025/12/30,47.09,22.17,2.35
100/12-30-010-112W1/00,2025/12/31,0,0,0
100/12-30-010-112W1/00,2026/1/1,45.43,22.18,2.27
100/06-02-010-113W1/00,2025/1/1,84.94,45.85,4.25
100/06-02-010-113W1/00,2025/1/2,84.93,66.12,4.25
100/06-02-010-113W1/00,2025/1/3,87.63,41.79,4.38
100/06-02-010-113W1/00,2025/1/4,80.43,29.47,4.02
100/06-02-010-113W1/00,2025/1/5,85.45,10.95,4.27
100/06-02-010-113W1/00,2025/1/6,80.2,63.93,4.01
100/06-02-010-113W1/00,2025/1/7,79.58,55.79,3.98
100/06-02-010-113W1/00,2025/1/8,82.29,49.68,4.11
100/06-02-010-113W1/00,2025/1/9,84.74,28.66,4.24
100/06-02-010-113W1/00,2025/1/10,82.75,16.71,4.14
100/06-02-010-113W1/00,2025/1/11,82.05,31.19,4.1
100/06-02-010-113W1/00,2025/1/12,83.22,40.03,4.16
100/06-02-010-113W1/00,2025/1/13,86.4,18.89,4.32
100/06-02-010-113W1/00,2025/1/14,87.03,31.39,4.35
100/06-02-010-113W1/00,2025/1/15,80.51,14.49,4.03
100/06-02-010-113W1/00,2025/1/16,85.22,66.33,4.26
100/06-02-010-113W1/00,2025/1/17,80.78,10.35,4.04
100/06-02-010-113W1/00,2025/1/18,81.52,25.96,4.08
100/06-02-010-113W1/00,2025/1/19,83.48,20.9,4.17
100/06-02-010-113W1/00,2025/1/20,86.79,13.95,4.34
100/06-02-010-113W1/00,2025/1/21,81.74,38.16,4.09
100/06-02-010-113W1/00,2025/1/22,86.49,24.52,4.32
100/06-02-010-113W1/00,2025/1/23,79.05,38.99,3.95
100/06-02-010-113W1/00,2025/1/24,0,0,0
100/06-02-010-113W1/00,2025/1/25,78.59,53.81,3.93
100/06-02-010-113W1/00,2025/1/26,80.9,57.36,4.04
100/06-02-010-113W1/00,2025/1/27,79.94,12.02,4
100/06-02-010-113W1/00,2025/1/28,81.28,51.72,4.06
100/06-02-010-113W1/00,2025/1/29,80.85,33.62,4.04
100/06-02-010-113W1/00,2025/1/30,85.35,11.51,4.27
100/06-02-010-113W1/00,2025/1/31,78.15,33.44,3.91
100/06-02-010-113W1/00,2025/2/1,80.78,60.81,4.04
100/06-02-010-113W1/00,2025/2/2,85.4,53.81,4.27
100/06-02-010-113W1/00,2025/2/3,79.59,29.92,3.98
100/06-02-010-113W1/00,2025/2/4,81.68,35.12,4.08
100/06-02-010-113W1/00,2025/2/5,81.11,52.72,4.06
100/06-02-010-113W1/00,2025/2/6,84.66,20.83,4.23
100/06-02-010-113W1/00,2025/2/7,80.28,30.5,4.01
100/06-02-010-113W1/00,2025/2/8,84.11,35.03,4.21
100/06-02-010-113W1/00,2025/2/9,85.32,12.11,4.27
100/06-02-010-113W1/00,2025/2/10,83.55,17.2,4.18
100/06-02-010-113W1/00,2025/2/11,79.14,55.97,3.96
100/06-02-010-113W1/00,2025/2/12,79.81,41.4,3.99
100/06-02-010-113W1/00,2025/2/13,79.38,31.09,3.97
100/06-02-010-113W1/00,2025/2/14,81.26,42.24,4.06
100/06-02-010-113W1/00,2025/2/15,82.25,25.94,4.11
100/06-02-010-113W1/00,2025/2/16,83.04,57.76,4.15
100/06-02-010-113W1/00,2025/2/17,80.12,35.97,4.01
100/06-02-010-113W1/00,2025/2/18,82.09,10.6,4.1
100/06-02-010-113W1/00,2025/2/19,77.2,33.03,3.86
100/06-02-010-113W1/00,2025/2/20,80.28,16.41,4.01
100/06-02-010-113W1/00,2025/2/21,83.74,53.59,4.19
